Judul,Penerbit,Tahun Terbit,Tempat Terbit,Pengarang,Tipe Koleksi
buat sisir batang padi rell mesin panen padi simple harvester ta,politeknik harapan bersama tegal,2020,tegal,ahmad ramdhani s kom m dsrobby hardian s ip m dsarizki maulana fajar,laporan ta / kti
buat poros roda mesin gembur tanah ta,politeknik harapan bersama tegal,2019,tegal,much sobri sungkar m komdany sucipto stdari lusi wulan,laporan ta / kti
buat rangka mesin pelet ikan in ta,politeknik harapan bersama tegal,2014,tegal,uyun fitriyatun,laporan ta / kti
buat rangka mesin gembur tanah ta,politeknik harapan bersama tegal,2015,tegal,pujiyati titi lasmi,laporan ta / kti
buat roda mesin gembur tanah ta,politeknik harapan bersama tegal,2017,tegal,hakim sopanulwibowo sugeng andioman somantri m komhidahatullah arifslamet wiyono spd m engimam f m,laporan ta / kti
buat unit rontok mesin panen padi simple harvester ta,politeknik harapan bersama tegal,2021,tegal,rais s pd m komrivaldo mersis brillianto s pd m engendah yugo asri,laporan ta / kti
buat unit pisau potong pada mesin panen padi simple harvester ta,politeknik harapan bersama tegal,2013,tegal,aziz aminudin,laporan ta / kti
buat web profil sekolah smk assalafiyah kota tegal ta,politeknik harapan bersama tegal,2019,tegal,isnaenilutfi firmansyah s komrobby hardian s ipm ds,laporan ta / kti
tentu dimensi sudu turbin ulir archimedes untuk bangkit listrik tenaga mikrohidro ta,salemba medika,2009,jakarta,dahlan m sopiyudin,laporan ta / kti
tentu harga jual jasa poles kayu rotan dengan guna metode time and material pricing pada lem rotan teg,gajah mada university press,2004,yogyakarta,sari ika puspita,laporan ta / kti
tentu nisbah bagi hasil dan laku akuntansi pada biaya mudharabah studi kasus pada ksps bmt pass talang ta,politeknik harapan bersama tegal,2017,tegal,nurul mahmudah msiakida farida se msiraharjo sasmito,laporan ta / kti
terap aplikasi e faktur dalam lapor pajak tambah nilai ppn pada pon menara laut ta,politeknik harapan bersama tegal,2017,tegal,fatmawati elokslamet wiyono s pdm engm fikri hidayatullah stm kom,laporan ta / kti
terap aplikasi pusat informasi harga pangan strategis pihps bagai cegah risiko inflasi pada kantor wakil bank indonesia tegal ta,politeknik harapan bersama tegal,2016,tegal,tiarso ari cesar,laporan ta / kti
terap aplikasi saiba untuk susun lapor uang pada kantor tanah kabupaten brebes ta,politeknik harapan bersama tegal,2015,tegal,fariki,laporan ta / kti
terap corporate social responsibilty csr untuk tingkat jual pada cv batu prima weleri ta,politeknik harapan bersama tegal,2018,tegal,maryani sri,laporan ta / kti
terap sistem otomatisasi sensor westafel portable ta,politeknik harapan bersama tegal,2016,tegal,lutfiyani malakhatun,laporan ta / kti
aplikasi desain gambar guna autodesk inventor ke d printer ender pro ta,andi,2005,yogyakarta,suyanto m,laporan ta / kti
pengaruh durasi semprot sandblasting hadap kasar muka pada baja karbon st ta,politeknik harapan bersama tegal,2015,tegal,mahfuzh aiman,laporan ta / kti
pengaruh jarak mata pisau hadap kapasitas pipil jagung ta,politeknik harapan bersama tegal,2013,tegal,sammaulidah rizki,laporan ta / kti
pengaruh jarak mata pisau hadap kapasitas pipil jagung ta,politeknik harapan bersama tegal,2014,tegal,dewi putri natunggal,laporan ta / kti
pengaruh jumlah puntir hadap mikrostruktur besi nako pada mesin puntir besi ta,politeknik harapan bersama tegal,2019,tegal,yusri anis f se m sihesti widianti se msirianto andri,laporan ta / kti
pengaruh putar moles mutih beras hadap hasil giling pada mesin padi type kd hm ta,politeknik harapan bersama tegal,2017,tegal,wilda amananti s pd m sikusnadi m pdmartati novi,laporan ta / kti
pengaruh rasio pulley inchi hadap beban maksimal pakai mesin listrik portabel ramah lingkung ta,politeknik harapan bersama tegal,2019,tegal,drs agus suprihadi mtabdullah marzukimuhamad nuryasin mt,laporan ta / kti
pengaruh rasio pulley hadap beban maksimal pakai mesin listrik portabel ramah lingkung ta,politeknik harapan bersama tegal,2019,tegal,muh nuryasin mtdrs agus suprihadi mtirawan candra,laporan ta / kti
pengaruh rasio pulley hadap beban maksimal pakai mesin listrik portabel ramah lingkung ta,politeknik harapan bersama tegal,2020,tegal,m khumaidi usman m engsyaefani arif romadhon m pdasrori mohamad wandi,laporan ta / kti
pengaruh rasio pulley hadap beban maksimal pakai mesin listrik portabel ramah lingkung ta,politeknik harapan bersama tegal,2016,tegal,navila hesti rizeta,laporan ta / kti
pengaruh rasio pulley hadap beban maksimal mesin listrik portabel ramah lingkung ta,politeknik harapan bersama tegal,2021,tegal,m nur yasin m tagus supriyadi mtmusha \ ' ib safirulloh,laporan ta / kti
pengaruh rasio pulley hadap beban maksimal mesin listrik portabel ta,politeknik harapan bersama tegal,2021,tegal,m nur yasin m tagus supriyadi mtibnu aji bachtiar,laporan ta / kti
pengaruh sudut miring sandblasting hadap kasar muka pada baja karbon st ta,politeknik harapan bersama tegal,2020,tegal,dewi sulistyowati sebahri kamal se mmjamalia nurzihan,laporan ta / kti
pengaruh suhu hadap barang jadi mesin molding ta,politeknik harapan bersama tegal,2018,tegal,aldi budi riyanta s si mtinur trivani s si m pdapriani leni,laporan ta / kti
pengaruh tekan udara hadap st kasar muka pada baja karbon st ta,politeknik harapan bersama tegal,2016,tegal,akhda akhdiyat tamam,laporan ta / kti
pengaruh ukur nozzlesandblasting hadap kasar muka pada baja karbon st ta,politeknik harapan bersama tegal,2017,tegal,yeni priatna sari msiakyusri anismsinaifi krisna lia,laporan ta / kti
pengaruh variasi diameter pul hadap kapasitas produksi pada mesin cetak pelet ikan in ta,politeknik harapan bersama tegal,2016,tegal,syahrur mohamad aldy,laporan ta / kti
pengaruh variasi diameter pul hadap konsumsi bahan bakar mesin disk mill ffc ta,politeknik harapan bersama tegal,2016,tegal,maulana irfan,laporan ta / kti
pengaruh variasi diameter pul hadap konsumsi bahan bakar mesin pipil jagung tipe mct ta,politeknik harapan bersama tegal,2015,tegal,nuryadin,laporan ta / kti
pengaruh variasi dimensi pul hadap kapasitas tepung mesin disc mill tipe ffc ta,politeknik harapan bersama tegal,2019,tegal,amin nur akhmadi mtaziz muarif abdulsyaefani arif romadhon m pd,laporan ta / kti
pengaruh variasi cepat putar dan temperatur drum hadap konsumsi bahan bakar gas lpg pada proses ering gabah dan jagung dengan mesin rotary dryer ta,politeknik harapan bersama tegal,2015,tegal,yuliyanti devi,laporan ta / kti
pengaruh variasi cepat hadap sesuai dimensi universal joint hasil cetak mesin d printer ta,politeknik harapan bersama tegal,2015,tegal,nurfahmi lutfi husni,laporan ta / kti
pengaruh variasi putar mesin pada giling padi hadap waktu dan kualitas hasil mutu beras dan tepung yang hasil ta,politeknik harapan bersama tegal,2018,tegal,m wawan junaidi usman m engbahtiar firman avieahmad faoji st,laporan ta / kti
pengaruh variasi putar mesin tapping otomatis hadap hasil ketap pada bahan st ta,politeknik harapan bersama tegal,2019,tegal,amin nur akhmadi mtahmad faoji stmangkuwijaya alham surarino,laporan ta / kti
pengaruh variasi putar mesin hadap waktu ketap dengan material aluminium ai pada mesin tapping ta,politeknik harapan bersama tegal,2019,tegal,amin nur akhmadi mtsyaefani arif romadhon m pdmajiid aprilla,laporan ta / kti
pengaruh variasi putar mesin hadap waktu ketap dengan material baja st dengan dingin dromus pada mesin tapping ta,politeknik harapan bersama tegal,2021,tegal,arifin m tagus supriyadi mtali fatkhur rohman,laporan ta / kti
pengaruh variasi putar mesin hadap waktu ketap dengan material kuningan pada mesin tapping ta,politeknik harapan bersama tegal,2021,tegal,amin nur akhmadi m tjohan firmansyah m tmuhammad nasrul musefi,laporan ta / kti
pengaruh variasi putar hadap hasil ketap dengan material besi kotak pejal pada mesin tapping ta,politeknik harapan bersama tegal,2018,tegal,amin nur akhmadi mtratih wulandari m mmustofa adi,laporan ta / kti
pengaruh waktu hadap hasil tiris minyak pada cireng guna mesin spinner ta,politeknik harapan bersama tegal,2018,tegal,drs agus suprihadi mtagus makhrojan m tannafi hanif,laporan ta / kti
pengaruh waktu hadap hasil tiris minyak pada pisang goreng guna mesin spinner ta,politeknik harapan bersama tegal,2019,tegal,muh nuryasin mtdrs agus suprihadi mtafifudin,laporan ta / kti
pengaruh waktu hadap hasil tiris minyak pada tempe goreng guna mesin spinner ta,politeknik harapan bersama tegal,2019,tegal,muh nuryasin mtdrs agus suprihadi mtaryono jefri dwi,laporan ta / kti
uji kuat sambung kelas las gesek aluminium ta,politeknik harapan bersama tegal,2017,tegal,nadib moh zaeni,laporan ta / kti
uji kuat sambung kelas las gesek padu baja aisi dan baja st ta,politeknik harapan bersama tegal,2015,tegal,aprilianti desy,laporan ta / kti
uji kuat sambung kelas las gesek padu baja st dan aisi ta,politeknik harapan bersama tegal,2012,tegal,novitasari leni,laporan ta / kti
rakit mesin pelet in ta,politeknik harapan bersama tegal,2018,tegal,ardyana mohamad dwika,laporan ta / kti
ancang alat giling biji jagung jadi tepung mesin disk mill tipe ffc ta,politeknik harapan bersama tegal,2016,tegal,arifin syaiful,laporan ta / kti
ancang kerangka mesin panen padi simple harvester bantu perangkat lunak solidworks ta,politeknik harapan bersama tegal,2020,tegal,sarip hidayatulloh,laporan ta / kti
ancang mesin cuci tangan otomatis bantu perangkat lunak solidworks ta,politeknik harapan bersama tegal,2020,tegal,febitama afifudin,laporan ta / kti
ancang mesin pelet ikan in guna software solidworks ta,politeknik harapan bersama tegal,2021,tegal,firman lukman s m tandre budhi h m tbilal maulana,laporan ta / kti
ancang mesin cacah plastik gerak mesin diesel hp guna perangkat lunak autodesk inventor ta,politeknik harapan bersama tegal,2019,tegal,hariyanto s komdedit priyono s pdm dsrozak miftahur,laporan ta / kti
ancang mesin ering biji biji type rotary dryer dengan panjang drum cm diameter cm dan sumber panas gas lpg ta,politeknik harapan bersama tegal,2020,tegal,dedit priyono s pdm dsahmad ramdhani s komm dsfaozi ahmad,laporan ta / kti
ancang mesin gembur tanah mini bantu software solidwork ta,politeknik harapan bersama tegal,2021,tegal,andre budhi h mt sigit setijo m tirfan agan maulana,laporan ta / kti
ancang mesin plastic molding guna perangkat lunak autodesk inventor professional ta,politeknik harapan bersama tegal,2021,tegal,syarifudin m tagus supriyadi mtsamuel prakoso mangontan,laporan ta / kti
banding guna sumber energi pada wastafel portable ta,politeknik harapan bersama tegal,2019,tegal,sutrisno triheru nurcahyo s farm m sc aptanggy rima putri m farm apt,laporan ta / kti
perubaha unsur perlit st telah puntir pada mesin puntir besi ta,politeknik harapan bersama tegal,2019,tegal,umriaty s st m kesdwi haryati s stm kesfebria debby,laporan ta / kti
rancang bangun frame mesin potong rumput remote control ta,politeknik harapan bersama tegal,2019,tegal,maylane boni abdillah m tmartselani adias sabara m komfernando steven,laporan ta / kti
rancang bangun frame robot kendali angkut sampah sungai bantu aplikasi solidworks ta,politeknik harapan bersama tegal,2019,tegal,maylane boni abdillah m tmartselani adias sabara m komkurniawan muhammad arif,laporan ta / kti
rancang bangun kerangka turbin ulir archimedes untuk bangkit listrik tenaga mikrohidro bantu perangkat lunak solidworks ta,politeknik harapan bersama tegal,2015,tegal,munshioriza diagil,laporan ta / kti
rancang bangun mesin puntir besi bantu perangkat lunak autodesk inventor profesional ta,politeknik harapan bersama tegal,2013,tegal,susmoro adityo,laporan ta / kti
rancang bangun mesin giling dan tepung biji kopi ta,polteknik harapan bersama tegal,2017,tegal,widodo teguhm wawan junaidi u m engmukhamad khumaidi um eng,laporan ta / kti
rancang bangun mesin giling padi dan tepung type kd hm ta,politeknik harapan bersama tegal,2018,tegal,m wawan junaidi usman m engahmad faoji stsaputra bagus aji,laporan ta / kti
rancang desain alat aga elektro peneumatik guna perangkat lunak solidworks ta,politeknik harapan bersama tegal,2012,tegal,rosiana shinta,laporan ta / kti
sistem electric starting pada mesin giling dan tepung kopi kering ta,politeknik harapan bersama tegal,2021,tegal,arfan haqiqi sulasmoro m komjimmy wijaya sabara stnilson kartiko wihariyokunto,laporan ta / kti
sistem pelampung hadap stabil robot kendali angkut sampah ta,politeknik harapan bersama tegal,2012,tegal,pratama bayu heri,laporan ta / kti
sistem awat dan baik maintenance komponen mesin giling padi dan tepung type kd hm ta,politeknik harapan bersama tegal,2014,tegal,riskiansyah hari,laporan ta / kti
struktur mikro besi nako telah di puntor pada mesin puntir besi ta,andi,2005,yogyakarta,suyanto m,laporan ta / kti
uji emisi gas buang mesin cacah plastik dengan bahan bakar solar dexlite dan pertamina dex ta,politeknik harapan bersama tegal,2016,tegal,novitasari widi,laporan ta / kti
uji kapasitas mesin pipil tipe mct guna pully inchi ta,politeknik harapan bersama tegal,2021,tegal,faqih fatkhurozak m tfirman lukman s m tfaza abdullah silmi,laporan ta / kti
uji kapasitas mesin tepung disk mill tipe ffc guna pully inchi ta,politeknik harapan bersama tegal,2020,tegal,drs agus suprihadi mtfirman lukman sanjaya m tnashrudin ahmad,laporan ta / kti
uji kuat mekanik sambung las smaw rangka pada mesin cacah plastik ta,politeknik harapan bersama tegal,2014,tegal,ulfa diana,laporan ta / kti
uji kuat sambung las gesek dengan bahan baja st ta,politeknik harapan bersama tegal,2014,tegal,arisman zendy,laporan ta / kti
uji kuat sambung las gesek dengan bahan padu baja st dan st ta,politeknik harapan bersama tegal,2014,tegal,fitriani aprida,laporan ta / kti
uji kuat sambung las gesek dengan baja aisi ta,politeknik harapan bersama tegal,2015,tegal,khanza mutia,laporan ta / kti
uji kerja dan kapasitas mesin panen padi simple harvester ta,politeknik harapan bersama tegal,2021,tegal,syarifudin m tahmad faoji m tagus raswindo,laporan ta / kti
uji kerja dan spesifikasi mesin pipil jagung kapasitas kg jam dengan mesin gerak motor bakar ta,politeknik harapan bersama tegal,2018,tegal,drs agus suprihadi mtfirman lukman sanjaya stfahmi ainul,laporan ta / kti
uji konsumsi bahan bakar gas panas pada mesin plastik molding ta,politeknik harapan bersama tegal,2021,tegal,nur aidi aryanto m tahmad faoji m teep saefulloh fatah,laporan ta / kti
uji konsumsi bahan bakar mesin cacah plastik ta,politeknik harapan bersama tegal,2021,tegal,nur aidi aryanto m tahmad faoji m triky reza zam zami,laporan ta / kti
uji konsumsi daya listrik mesin molding ta,politeknik harapan bersama tegal,2021,tegal,andre budhi h mt firman lukman s m tryan hidayatulloh,laporan ta / kti
uji mekanik kuat sambung las pada kerangka turbin ulir archimedes untuk bangkit listrik tenaga mikrohidro ta,politeknik harapan bersama tegal,2021,tegal,m wawan junaidi u m engfaqih fatkhurozak m trangga prasetyo,laporan ta / kti
uji mekanik kuat sambung las smaw pada rangka mesin plastic molding ta,politeknik harapan bersama tegal,2021,tegal,faqih fatkhurozak m tfirman lukman s m tmuhamad abdul kodir jaelani,laporan ta / kti
uji mekanik kerangka material turbin ulir archimedes untuk bangkit listrik tenaga mikrohidro ta,politeknik harapan bersama tegal,2016,tegal,fahurrahman rizqi,laporan ta / kti
uji pengaruh cepat dan beda suhu antara filament pla dengan filament petg pada d printer ender pro ta,politeknik harapan bersama tegal,2017,tegal,syarifudin stm khumaidi usman m engraharjo wahyu dwi,laporan ta / kti
uji pengaruh variasi putar mesin hadap kapasitas pada mesin cacah plastik ta,politeknik harapan bersama tegal,2017,tegal,syarifudin s tsyaekhu akhmadmuhamad khumaidi usman m eng,laporan ta / kti
uji pengaruh variasi sudu turbin pada sudut miring poros derajat hadap daya dan efisiensi turbin archimedes ta,politeknik harapan bersama,2021,tegal,kusnadi m pdapt rizki febriyanti m farmtrianita solikhah,laporan ta / kti
uji pengaruh variasi sudu turbin pada sudut miring poros derajat hadap daya dan efisiensi turbin archimedes ta,politeknik harapan bersama tegal,2021,tegal,firman lukman s m tagus supriyadi mtakhmad sugih hartono,laporan ta / kti
uji pengaruh variasi sudu turbin pada sudut miring poros derajat hadap daya dan efisiensi turbin ulir archimedes ta,politeknik harapan bersama tegal,2021,tegal,faqih fatkhurozak m tfirman lukman s m trenanda septa laksito,laporan ta / kti
uji tarik kuat sambung kelas las gesek baja st ta,politeknik harapan bersama tegal,2020,tegal,aldi budi riyanta s si m takhmad aniq barlian s farm mh kesmuami mualifiyani mulya,laporan ta / kti
uji unjuk kerja mesin pipil jagung ta,politeknik harapan bersama,2021,tegal,inur tivani s si m pdapt rizki febriyanti m farmluthfiah anne rufaidah,laporan ta / kti
variasi amper meter kelas smaw but joint pada rangka mesin giling dan tepung biji kopi kering tipe mbabat ta,andi,2007,yogyakarta,williams brian k sawyer stacey c,laporan ta / kti
variasi diameter pully sistem gerak pada mesin giling dan tepung biji kopi ta,politeknik harapan bersama tegal,2020,tegal,dani fitria brilianti m pdanggreyani desi,laporan ta / kti
variasi pul hadap kapasitas mesin pipil biji jagung tipe mct ta,politeknik harapan bersama tegal,2017,tegal,drs agus suprihadi mtmuh nuryasin mtmaulana zaki,laporan ta / kti
kunci sukses raih kerja,prima media,2021,jakarta,a rudiyanto,manajemen & bisnis
buku pintar gudang,mediakom,2015,yogyakarta,kadir abdul,manajemen & bisnis
business economics and managerial decision mak,mcgraw hill,2012,new york,nickels william gmchugh james mmchugh susan m,manajemen & bisnis
business plan,kencana,2018,jakarta,nugroho j setiadi,manajemen & bisnis
business process management konsep dan implementasi,kencana,2008,jakarta,setiadi nugroho j,manajemen & bisnis
change manag,tim,2012,jakarta,limakrisna nandansusilo wilhelmus harry,manajemen & bisnis
corporate strategy konsep dan praktik,andi,2011,yogyakarta,agustina maria,manajemen & bisnis
culturepreneurship,politeknik harapan bersama tegal,2018,tegal,arfan haqiqi sulasmoro m komrizki muhamad faizal,manajemen & bisnis
dasar dasar manajemen teori definisi dan konsep,c . v andi offset,2011,yogyakarta,tungga bk,manajemen & bisnis
manajemen bandwith dengan simplequeue untuk limit bendwith dan dhcp server untuk mudah komunikasi data antar komputer di notaris fitriyani nuggroho,gadjah mada univesitypress,2016,yogyakarta,satibirokhman m rifqiaditama hardika,manajemen & bisnis
manajemen pasar,gosyen publishing,2013,yogyakarta,febriawati henni,manajemen & bisnis
manajemen ada procurement management abg academic business govern,politeknik harapan bersama tegal,2015,tegal,lestari santi,manajemen & bisnis
manajemen risiko,elex media komputindo,2003,jakarta,widyanahar nur ali,manajemen & bisnis
manajemen risiko pasar modal iso,informatika,2013,bandung,heryanto imamtriwibowo totok,manajemen & bisnis
manajemen strategis praktis cara terap pikir strategis dalam bisni,politeknik harapan bersama tegal,2019,tegal,ida afriliana st m komrahadian pandu bagasnaufal tyas,manajemen & bisnis
matematika ekonomi dan bisni,rekayasa sains,2006,bandung,nursita danang,manajemen & bisnis
muda daya karya raya,erlangga,2005,jakarta,arends bpmberenschot h,manajemen & bisnis
antar ilmu organisasi,salemba medika,2009,jakarta,hidayat a aziz alimul,manajemen & bisnis
psikologi industri organisasi,politeknik harapan bersama tegal,2018,tegal,much sobri sungkar m komqirom s pdpratama rizna novari,manajemen & bisnis
sistem informasi manajemen,politeknik harapan bersama tegal,2017,tegal,fauziyah rizkydairoh m scslamet wiyono s pdm eng,manajemen & bisnis
alat ikat pada elemen mesin,bina adiaksara,2003,jakarta,daryanto,mesin
autocad untuk teknik edisi revisi,elex media komputindo,2006,jakarta,soma hari aria,mesin
azas azas ilmu fisika jilid fisika modern,politeknik harapan bersama tegal,2019,tegal,irawan pudja harjana stida afriliana st m komsuryadi agusfaizi nurkautsari m hamam,mesin
azaz azas mekanika analitik,akademi keuangan dan bisnis,1979,yogyakarta,swastha basu,mesin
bioetanol generasi dua,politeknik harapan bersama tegal,2016,tegal,anggawa diofani argya,mesin
bioteknologi dalam bahan bakar nonfosil,buku kedokteran,2001,jakarta,budiarto eko,mesin
buku pintar otomotif,elex media komputindo,2003,jakarta,rudianto dudy,mesin
cara periksa setel dan awat listrik mobil,graha ilmu,2019,jakarta,mugi raharjo,mesin
cara periksa setel awat listrik mobil,politeknik harapan bersama tegal,2017,tegal,mukhamad khumaidi usman m engdrs drajat samyono m tmudiyah nur apriliyani,mesin
cara periksa setel awat sepeda motor,andi,2009,yogyakarta,boentarto,mesin
dasar dasar getar mekani,informatika,2007,bandung,widiarta wisnu,mesin
dasar dasar teknik mobil edisi revisi,bumi aksara,2010,jakarta,terry george rrue leslie w,mesin
dasar rencana dan pilih elemen mesin,andi,2018,yogyakarta,r h sianipar,mesin
dasar listrik otomotif,rajawali press,2017,jakarta,agus adiarta,mesin
dasar pneumatik,imperium,2011,yogyakarta,maciocia giovanni,mesin
dasar teknik mobil,alfabeta,2015,bandung,prijono agusratnadewisusanthi yohana,mesin
do it yourself awat dan tune up motor mobil,politeknik harapan bersama tegal,2020,tegal,eko budihartono st m kommulyadi firman,mesin
electroplating teknik lapis logam dengan cara listrik,politeknik harapan bersama tegal,2016,tegal,rifa'i akhmad,mesin
elemen mesin elemen konstruksi bangun mesin,itb bandung,1987,bandung,sutrisno,mesin
elemen mesin jilid,itb bandung,1986,bandung,sutrisno,mesin
elemen mesin dalam ancang mekanis buku,erlangga,1999,jakarta,niemann g,mesin
elemen mesin dalam ancang mekanis buku,erlangga,2001,jakarta,rao nannapaneni,mesin
ensiklopedi otomotif,bumi aksara,2016,jakarta,kardimin,mesin
hidraulika ii,penebar swadaya,2008,jakarta,dalimartha setiawan,mesin
kalor dan termodinamika,egc,2006,jakarta,ansel howard cprince shelly j,mesin
kamus teknik lengkap,dinas kebudayaan dan pariwisata provinsi jawa tengah,2009,semarang,irianto agus maladi,mesin
listrik mobil,nusamedia,2018,jakarta,muhammad topan,mesin
listrik otomotif sistem listrik mesin,palgrave macmillan,2006,jakarta,ees,mesin
selamat kerja bengkel otomotif edisi revisi,nuha medika,2010,yogyakarta,nugroho taufansetiawan ari,mesin
selamat kerja brengkel otomotif,universitas indonesia,2009,jakarta,sabarguna boy s,mesin
kiat praktis rawat mobil,erlangga,2010,jakarta,leo sutanto,mesin
klasifikasi proses gaya daya mesin,zaman,2018,jakarta,al-faiz muhammad,mesin
kupas tuntas dasar power train,politeknik harapan bersama tegal,2020,tegal,eko budihartono st m komamaliyah ana rizkimayningsih ulfivery kurnia bakti m komsuluchi muhamad fahim,mesin
las busur manu,politeknik harapan bersama tegal,2015,tegal,septianti hana dwi,mesin
mekanika fluida,politeknik harapan bersama tegal,2017,tegal,oman somantri m kommuhammad ibnu dhikri,mesin
mekanika teknik,cv trans info media,2010,jakarta timur,safitri ratunovel sinta sasika,mesin
mekanisme dan dinamika mesin,buku kedokteran,2008,jakarta,henke grace,mesin
kelas dengan proses las gas tungsten las tig,politeknik harapan bersama tegal,2019,tegal,m wawan junaidi usman m engahmad faoji stalfarisi husen,mesin
kelas dengan proses las oksi asetilen,politeknik harapan bersama tegal,2019,tegal,m khumaidi usman m engdrs agus suprihadi mtanter,mesin
kelas dengan teknik las busur metal manu,politeknik harapan bersama tegal,2015,tegal,prasetyaningtias ulfia eka,mesin
gambar mesin turut standar iso,kementerian kesehatan ri,2009,karanganyar,b2p2toot kementerian kesehatan ri,mesin
rawat pelihara mobil,egc,2013,jakarta,walker sharon,mesin
mesin konversi energi,politeknik harapan bersama tegal,2018,tegal,aris winarso s komanggie tiarasafitri rissamaghfira fannisa olivia,mesin
mesin konversi energi edisi,politeknik harapan bersama tegal,2016,tegal,ghofur abdul,mesin
mesin pindah bahan material handling equip,politeknik harapan bersama tegal,2017,tegal,jayanti karlitalarasati nourmam teguh prihandoyo m komtrima mustofas st,mesin
mesin angkat,andi,2013,yogyakarta,pudjanarsa astunursuhud djati,mesin
mesin angkat i,politeknik harapan bersama tegal,2020,tegal,dany sucipto stqirom s pd mtpermatasari bella rizkarakhmawati maryanapratama muhamad eka aldi,mesin
motor bakar torak teori dan aplikasi,politeknik harapan bersama tegal,2018,tegal,wildani eko nugroho s komazka ahmad ululprihatiningtyas izkahidayat firman,mesin
motor bensin,politeknik harapan bersama tegal,2015,tegal,rohmadi sugeng,mesin
motor bensin pada mobil,politeknik harapan bersama tegal,2018,tegal,iman rosikhularis winarso s komida afriliana st m kompriyo daru,mesin
motor disel putar tinggi,politeknik harapan bersama tegal,2020,tegal,irawan pudja harjana steko budihartono st m komrahadian pandu bagasnaufal tiyas,mesin
operation amplifi,politeknik harapan bersama tegal,2016,tegal,nurasiah siti,mesin
otomotif pandu lengkap awat motor bensin disel,politeknik harapan bersama tegal,2014,tegal,muhis abdul,mesin
pandu gulung ulang kumpar motor listrik satu fasa untuk baik pompa air bor listrik mesin cuci kipas angin mixer gerinda kompresor angin dl,elex media komputindo,2006,jakarta,kusrianto adi,mesin
pandu praktis awat mobil,andi,2004,yogyakarta,jasmadi,mesin
pedoman praktis manajemen awat mesin industri,egc,2006,jakarta,banister claire,mesin
kerja las dasar,egc,2001,jakarta,chairlanlestari estu,mesin
kerja logam dasar,balai pustaka,2003,jakarta,indonesia,mesin
peluang dan tantang kembang mobil listrik nasion,politeknik harapan bersama tegal,2017,tegal,setiawan agusramadhani dhea putriamalia lutfiabdulloh muhamad,mesin
manfaat d studio max untuk desain otomotif,politeknik harapan bersama tegal,2016,tegal,kholifatunnisa suci,mesin
pelihara servis enjin dan komponen,politeknik harapan bersama tegal,2015,tegal,kuswanto ali,mesin
pelihara servis sistem kondisi udara,politeknik harapan bersama tegal,2015,tegal,anjasmara dede ryan,mesin
antar bahasa rakit,salemba empat,2010,jakarta,reeve james mwarren carls sduchac jonathan e,mesin
antar ancang teknik ancang produk edisi dua,universitas indonesia,2006,jakarta,gibson g gordonskett paul,mesin
antar turbin gas dan motor propulsi,graha ilmu,2011,yogyakarta,astuti budi,mesin
cat ulang bodi kendara,politeknik harapan bersama tegal,2017,tegal,andri widiantomsiaryantosemaolidah rifa,mesin
kenal bodi otomotif,politeknik harapan bersama tegal,2017,tegal,slamet wiyono s pd m engmaulana ridho gusti,mesin
kenal komponen mesin,politeknik harapan bersama tegal,2020,tegal,ahmad ramdhani s kom m dsiin indrayanti m pddwi putri anggraenisyarif gunawan sp m ds,mesin
tahu bahan untuk mesin listrik,politeknik harapan bersama tegal,2020,tegal,hetika s pd m si akghea dwi rahmadiane se m sijanudin moh reza amal,mesin
tahu baterai mobil,politeknik harapan bersama tegal,2015,tegal,rozini mohammad nafis,mesin
tahu komponen mobil,andi,2009,yogyakarta,sumanto,mesin
tahu praktis teknik dingin dan reparasi,politeknik harapan bersama tegal,2017,tegal,istiqomah dwi a s stdedi sutanto skm m keschalifah ade ummul,mesin
tahu praktis televisi,politeknik harapan bersama tegal,2017,tegal,istiqomah dwi a s stdedi sutanto skm m keswulandari fitria,mesin
gerak mula motor bakar torak,bumi aksara,2018,jakarta,daryanto,mesin
ancang elemen mesin,politeknik harapan bersama tegal,2017,tegal,nurokhman azi,mesin
baik chasis dan pindah tenaga mobil dan motor,politeknik harapan bersama tegal,2015,tegal,annur akhmad iskandar,mesin
rencana teknik mesin,bumi aksara,2008,jakarta,suhardjo,mesin
perkakas sistem perkakas umur pahat cair dingin mesin buku,erlangga,2007,jakarta,ivancevich john m konopaske robertmatteson michael t,mesin
pintar servis mesin diesel,elex media komputindo,2017,jakarta,dinata andii,mesin
prinsip dasar listrik otomotif,graha ilmu,2008,yogyakarta,muis saludin,mesin
prinsip konversi energi,erlangga,2007,jakarta,case karl e fair ray c,mesin
rekayasa sistem manufaktur,politeknik harapan bersama tegal,2020,tegal,m teguh prihandoyo m komalwy fiqie mustofa,mesin
spesifikasi metrologi dan kontrol kualitas geometrik jilid,andi,2006,yogyakarta,wahana komputer,mesin
spesifikasi metrologi dan kontrol kualitas geometrik jilid,liberty,2001,yogyakarta,sastrohamidjojo hardjono,mesin
technology of machine tool,politeknik harapan bersama tegal,2020,tegal,dani fitria brilianti m pdadigunawan gilar fajar,mesin
teknik dasar kendali motor listrik,politeknik harapan bersama tegal,2015,tegal,wicaksono oka tri,mesin
teknik kontrol automatik,informatika,2010,bandung,willa lukas,mesin
teknik kelas asetilin brazing dan las busur listrik,graha ilmu,2009,yogyakarta,sulasno,mesin
teknik rawat automobil lengkap,graha ilmu,2013,yogyakarta,sitorus marhamibrahim sanusi,mesin
